Time,ID,Instance,Obj,Feasible,Validator-Obj
2015-05-24 Sun 10:39:23,0,n120w8,5945,1,0
2015-05-24 Sun 10:39:26,1,n120w8,5690,1,0
2015-05-24 Sun 10:39:29,2,n120w8,5650,1,0
2015-05-24 Sun 10:39:32,3,n120w8,5970,1,0
2015-05-24 Sun 10:39:35,4,n120w8,5980,1,0
2015-05-24 Sun 10:39:38,5,n120w8,5965,1,0
2015-05-24 Sun 10:39:41,6,n120w8,5585,1,0
2015-05-24 Sun 10:39:44,7,n120w8,6215,1,0
2015-05-24 Sun 12:07:41,0,n100w8,4310,1,0
2015-05-24 Sun 12:07:44,1,n100w8,5100,1,0
2015-05-24 Sun 12:07:47,2,n100w8,4795,1,0
2015-05-24 Sun 12:07:50,3,n100w8,4775,1,0
2015-05-24 Sun 12:07:53,4,n100w8,4655,1,0
2015-05-24 Sun 12:07:56,5,n100w8,4670,1,0
2015-05-24 Sun 12:07:59,6,n100w8,4500,1,0
2015-05-24 Sun 12:08:02,7,n100w8,4415,1,0
2015-05-24 Sun 13:22:50,0,n120w4,3395,1,0
2015-05-24 Sun 13:22:53,1,n120w4,3245,1,0
2015-05-24 Sun 13:22:56,2,n120w4,3365,1,0
2015-05-24 Sun 13:22:59,3,n120w4,3335,1,0
2015-05-24 Sun 13:23:02,4,n120w4,3280,1,0
2015-05-24 Sun 13:23:05,5,n120w4,3260,1,0
2015-05-24 Sun 13:23:08,6,n120w4,3295,1,0
2015-05-24 Sun 13:23:11,7,n120w4,3500,1,0
2015-05-24 Sun 14:03:41,0,n080w8,6065,1,0
2015-05-24 Sun 14:03:44,1,n080w8,6160,1,0
2015-05-24 Sun 14:03:47,2,n080w8,6150,1,0
2015-05-24 Sun 14:03:50,3,n080w8,6335,1,0
2015-05-24 Sun 14:03:53,4,n080w8,6305,1,0
2015-05-24 Sun 14:03:56,5,n080w8,6310,1,0
2015-05-24 Sun 14:03:59,6,n080w8,6425,1,0
2015-05-24 Sun 14:04:02,7,n080w8,6510,1,0
2015-05-24 Sun 15:01:19,0,n100w4,2585,1,0
2015-05-24 Sun 15:01:22,1,n100w4,2570,1,0
2015-05-24 Sun 15:01:25,2,n100w4,2770,1,0
2015-05-24 Sun 15:01:28,3,n100w4,2735,1,0
2015-05-24 Sun 15:01:31,4,n100w4,2670,1,0
2015-05-24 Sun 15:01:34,5,n100w4,2775,1,0
2015-05-24 Sun 15:01:37,6,n100w4,2735,1,0
2015-05-24 Sun 15:01:40,7,n100w4,2630,1,0
2015-05-24 Sun 15:33:25,0,n060w8,4650,1,0
2015-05-24 Sun 15:33:28,1,n060w8,4505,1,0
2015-05-24 Sun 15:33:30,2,n060w8,4775,1,0
2015-05-24 Sun 15:33:33,3,n060w8,4650,1,0
2015-05-24 Sun 15:33:36,4,n060w8,4395,1,0
2015-05-24 Sun 15:33:40,5,n060w8,4570,1,0
2015-05-24 Sun 15:33:42,6,n060w8,4580,1,0
2015-05-24 Sun 15:33:45,7,n060w8,4600,1,0
2015-05-24 Sun 16:13:30,0,n080w4,4065,1,0
2015-05-24 Sun 16:13:33,1,n080w4,4140,1,0
2015-05-24 Sun 16:13:36,2,n080w4,4195,1,0
2015-05-24 Sun 16:13:39,3,n080w4,4140,1,0
2015-05-24 Sun 16:13:42,4,n080w4,4235,1,0
2015-05-24 Sun 16:13:45,5,n080w4,4165,1,0
2015-05-24 Sun 16:13:48,6,n080w4,4210,1,0
2015-05-24 Sun 16:13:51,7,n080w4,4110,1,0
2015-05-24 Sun 16:37:56,0,n050w8,7370,1,0
2015-05-24 Sun 16:37:59,1,n050w8,6995,1,0
2015-05-24 Sun 16:38:02,2,n050w8,6945,1,0
2015-05-24 Sun 16:38:05,3,n050w8,6860,1,0
2015-05-24 Sun 16:38:08,4,n050w8,7050,1,0
2015-05-24 Sun 16:38:11,5,n050w8,7010,1,0
2015-05-24 Sun 16:38:14,6,n050w8,6890,1,0
2015-05-24 Sun 16:38:17,7,n050w8,6855,1,0
2015-05-24 Sun 17:08:11,0,n060w4,3310,1,0
2015-05-24 Sun 17:08:14,1,n060w4,3445,1,0
2015-05-24 Sun 17:08:16,2,n060w4,3465,1,0
2015-05-24 Sun 17:08:19,3,n060w4,3500,1,0
2015-05-24 Sun 17:08:22,4,n060w4,3410,1,0
2015-05-24 Sun 17:08:25,5,n060w4,3430,1,0
2015-05-24 Sun 17:08:28,6,n060w4,3450,1,0
2015-05-24 Sun 17:08:31,7,n060w4,3575,1,0
2015-05-24 Sun 17:24:56,0,n040w8,3795,1,0
2015-05-24 Sun 17:24:59,1,n040w8,3560,1,0
2015-05-24 Sun 17:25:02,2,n040w8,3605,1,0
2015-05-24 Sun 17:25:05,3,n040w8,3580,1,0
2015-05-24 Sun 17:25:08,4,n040w8,3575,1,0
2015-05-24 Sun 17:25:11,5,n040w8,3785,1,0
2015-05-24 Sun 17:25:14,6,n040w8,3880,1,0
2015-05-24 Sun 17:25:17,7,n040w8,3755,1,0
2015-05-24 Sun 17:46:25,0,n050w4,1865,1,0
2015-05-24 Sun 17:46:28,1,n050w4,1945,1,0
2015-05-24 Sun 17:46:31,2,n050w4,1960,1,0
2015-05-24 Sun 17:46:34,3,n050w4,1900,1,0
2015-05-24 Sun 17:46:37,4,n050w4,1950,1,0
2015-05-24 Sun 17:46:40,5,n050w4,1970,1,0
2015-05-24 Sun 17:46:43,6,n050w4,2010,1,0
2015-05-24 Sun 17:46:46,7,n050w4,1900,1,0
2015-05-24 Sun 17:58:48,0,n030w8,2740,1,0
2015-05-24 Sun 17:58:51,1,n030w8,2735,1,0
2015-05-24 Sun 17:58:54,2,n030w8,2735,1,0
2015-05-24 Sun 17:58:57,3,n030w8,2810,1,0
2015-05-24 Sun 17:59:00,4,n030w8,2815,1,0
2015-05-24 Sun 17:59:03,5,n030w8,2655,1,0
2015-05-24 Sun 17:59:06,6,n030w8,2675,1,0
2015-05-24 Sun 17:59:09,7,n030w8,2715,1,0
2015-05-24 Sun 18:11:31,0,n040w4,2230,1,0
2015-05-24 Sun 18:11:34,1,n040w4,2135,1,0
2015-05-24 Sun 18:11:37,2,n040w4,2195,1,0
2015-05-24 Sun 18:11:40,3,n040w4,2215,1,0
2015-05-24 Sun 18:11:43,4,n040w4,2185,1,0
2015-05-24 Sun 18:11:46,5,n040w4,2205,1,0
2015-05-24 Sun 18:11:49,6,n040w4,2175,1,0
2015-05-24 Sun 18:11:52,7,n040w4,2195,1,0
2015-05-24 Sun 18:20:37,0,n030w4,2285,1,0
2015-05-24 Sun 18:20:39,1,n030w4,2275,1,0
2015-05-24 Sun 18:20:42,2,n030w4,2245,1,0
2015-05-24 Sun 18:20:45,3,n030w4,2210,1,0
2015-05-24 Sun 18:20:48,4,n030w4,2275,1,0
2015-05-24 Sun 18:20:51,5,n030w4,2190,1,0
2015-05-24 Sun 18:20:54,6,n030w4,2225,1,0
2015-05-24 Sun 18:20:57,7,n030w4,2250,1,0
2015-05-24 Sun 18:36:17,0,n120w8,5630,1,0
2015-05-24 Sun 18:36:19,1,n120w8,5770,1,0
2015-05-24 Sun 18:36:22,2,n120w8,6130,1,0
2015-05-24 Sun 18:36:25,3,n120w8,5795,1,0
2015-05-24 Sun 18:36:28,4,n120w8,5925,1,0
2015-05-24 Sun 18:36:31,5,n120w8,5485,1,0
2015-05-24 Sun 18:36:34,6,n120w8,5760,1,0
2015-05-24 Sun 18:36:37,7,n120w8,5905,1,0
2015-05-24 Sun 20:04:34,0,n100w8,4715,1,0
2015-05-24 Sun 20:04:37,1,n100w8,4845,1,0
2015-05-24 Sun 20:04:40,2,n100w8,4570,1,0
2015-05-24 Sun 20:04:43,3,n100w8,4565,1,0
2015-05-24 Sun 20:04:46,4,n100w8,4625,1,0
2015-05-24 Sun 20:04:49,5,n100w8,4545,1,0
2015-05-24 Sun 20:04:52,6,n100w8,4600,1,0
2015-05-24 Sun 20:04:55,7,n100w8,4445,1,0
2015-05-24 Sun 21:19:43,0,n120w4,3405,1,0
2015-05-24 Sun 21:19:46,1,n120w4,3370,1,0
2015-05-24 Sun 21:19:49,2,n120w4,3315,1,0
2015-05-24 Sun 21:19:52,3,n120w4,3235,1,0
2015-05-24 Sun 21:19:55,4,n120w4,3335,1,0
2015-05-24 Sun 21:19:58,5,n120w4,3250,1,0
2015-05-24 Sun 21:20:01,6,n120w4,3285,1,0
2015-05-24 Sun 21:20:04,7,n120w4,3300,1,0
2015-05-24 Sun 22:00:35,0,n080w8,6730,1,0
2015-05-24 Sun 22:00:38,1,n080w8,6260,1,0
2015-05-24 Sun 22:00:40,2,n080w8,6440,1,0
2015-05-24 Sun 22:00:43,3,n080w8,6525,1,0
2015-05-24 Sun 22:00:46,4,n080w8,6325,1,0
2015-05-24 Sun 22:00:50,5,n080w8,6240,1,0
2015-05-24 Sun 22:00:53,6,n080w8,6345,1,0
2015-05-24 Sun 22:00:56,7,n080w8,6725,1,0
2015-05-24 Sun 22:58:12,0,n100w4,2625,1,0
2015-05-24 Sun 22:58:15,1,n100w4,2580,1,0
2015-05-24 Sun 22:58:18,2,n100w4,2690,1,0
2015-05-24 Sun 22:58:21,3,n100w4,2745,1,0
2015-05-24 Sun 22:58:24,4,n100w4,2725,1,0
2015-05-24 Sun 22:58:27,5,n100w4,2625,1,0
2015-05-24 Sun 22:58:30,6,n100w4,2675,1,0
2015-05-24 Sun 22:58:33,7,n100w4,2710,1,0
2015-05-24 Sun 23:30:18,0,n060w8,4690,1,0
2015-05-24 Sun 23:30:21,1,n060w8,4685,1,0
2015-05-24 Sun 23:30:24,2,n060w8,4470,1,0
2015-05-24 Sun 23:30:27,3,n060w8,4660,1,0
2015-05-24 Sun 23:30:30,4,n060w8,4345,1,0
2015-05-24 Sun 23:30:33,5,n060w8,4625,1,0
2015-05-24 Sun 23:30:36,6,n060w8,4515,1,0
2015-05-24 Sun 23:30:39,7,n060w8,4520,1,0
2015-05-25 Mon 00:10:24,0,n080w4,4130,1,0
2015-05-25 Mon 00:10:27,1,n080w4,4130,1,0
2015-05-25 Mon 00:10:29,2,n080w4,4210,1,0
2015-05-25 Mon 00:10:32,3,n080w4,4135,1,0
2015-05-25 Mon 00:10:36,4,n080w4,4165,1,0
2015-05-25 Mon 00:10:39,5,n080w4,4030,1,0
2015-05-25 Mon 00:10:42,6,n080w4,4390,1,0
2015-05-25 Mon 00:10:45,7,n080w4,4200,1,0
2015-05-25 Mon 00:34:50,0,n050w8,6800,1,0
2015-05-25 Mon 00:34:52,1,n050w8,7210,1,0
2015-05-25 Mon 00:34:55,2,n050w8,6985,1,0
2015-05-25 Mon 00:34:58,3,n050w8,6875,1,0
2015-05-25 Mon 00:35:01,4,n050w8,6840,1,0
2015-05-25 Mon 00:35:04,5,n050w8,6760,1,0
2015-05-25 Mon 00:35:07,6,n050w8,6855,1,0
2015-05-25 Mon 00:35:10,7,n050w8,7030,1,0
2015-05-25 Mon 01:05:04,0,n060w4,3335,1,0
2015-05-25 Mon 01:05:07,1,n060w4,3490,1,0
2015-05-25 Mon 01:05:10,2,n060w4,3370,1,0
2015-05-25 Mon 01:05:13,3,n060w4,3330,1,0
2015-05-25 Mon 01:05:16,4,n060w4,3295,1,0
2015-05-25 Mon 01:05:19,5,n060w4,3450,1,0
2015-05-25 Mon 01:05:22,6,n060w4,3490,1,0
2015-05-25 Mon 01:05:25,7,n060w4,3440,1,0
2015-05-25 Mon 01:21:50,0,n040w8,3700,1,0
2015-05-25 Mon 01:21:53,1,n040w8,3660,1,0
2015-05-25 Mon 01:21:55,2,n040w8,3740,1,0
2015-05-25 Mon 01:21:58,3,n040w8,3650,1,0
2015-05-25 Mon 01:22:01,4,n040w8,3695,1,0
2015-05-25 Mon 01:22:04,5,n040w8,3930,1,0
2015-05-25 Mon 01:22:07,6,n040w8,3730,1,0
2015-05-25 Mon 01:22:10,7,n040w8,3695,1,0
2015-05-25 Mon 01:43:18,0,n050w4,1955,1,0
2015-05-25 Mon 01:43:21,1,n050w4,1870,1,0
2015-05-25 Mon 01:43:24,2,n050w4,1985,1,0
2015-05-25 Mon 01:43:27,3,n050w4,1965,1,0
2015-05-25 Mon 01:43:30,4,n050w4,1900,1,0
2015-05-25 Mon 01:43:33,5,n050w4,2000,1,0
2015-05-25 Mon 01:43:36,6,n050w4,1955,1,0
2015-05-25 Mon 01:43:39,7,n050w4,2020,1,0
2015-05-25 Mon 01:55:41,0,n030w8,2720,1,0
2015-05-25 Mon 01:55:44,1,n030w8,2875,1,0
2015-05-25 Mon 01:55:47,2,n030w8,2785,1,0
2015-05-25 Mon 01:55:50,3,n030w8,2825,1,0
2015-05-25 Mon 01:55:53,4,n030w8,2850,1,0
2015-05-25 Mon 01:55:56,5,n030w8,2685,1,0
2015-05-25 Mon 01:55:59,6,n030w8,2835,1,0
2015-05-25 Mon 01:56:02,7,n030w8,2740,1,0
2015-05-25 Mon 02:08:24,0,n040w4,2185,1,0
2015-05-25 Mon 02:08:27,1,n040w4,2240,1,0
2015-05-25 Mon 02:08:30,2,n040w4,2280,1,0
2015-05-25 Mon 02:08:33,3,n040w4,2165,1,0
2015-05-25 Mon 02:08:36,4,n040w4,2155,1,0
2015-05-25 Mon 02:08:39,5,n040w4,2230,1,0
2015-05-25 Mon 02:08:42,6,n040w4,2175,1,0
2015-05-25 Mon 02:08:45,7,n040w4,2160,1,0
2015-05-25 Mon 02:17:30,0,n030w4,2285,1,0
2015-05-25 Mon 02:17:33,1,n030w4,2225,1,0
2015-05-25 Mon 02:17:36,2,n030w4,2325,1,0
2015-05-25 Mon 02:17:39,3,n030w4,2245,1,0
2015-05-25 Mon 02:17:42,4,n030w4,2200,1,0
2015-05-25 Mon 02:17:45,5,n030w4,2240,1,0
2015-05-25 Mon 02:17:48,6,n030w4,2305,1,0
2015-05-25 Mon 02:17:51,7,n030w4,2240,1,0
2015-05-25 Mon 02:33:10,0,n120w8,5555,1,0
2015-05-25 Mon 02:33:13,1,n120w8,5540,1,0
2015-05-25 Mon 02:33:16,2,n120w8,5960,1,0
2015-05-25 Mon 02:33:19,3,n120w8,5890,1,0
2015-05-25 Mon 02:33:22,4,n120w8,5715,1,0
2015-05-25 Mon 02:33:25,5,n120w8,5550,1,0
2015-05-25 Mon 02:33:28,6,n120w8,5830,1,0
2015-05-25 Mon 02:33:31,7,n120w8,5595,1,0
2015-05-25 Mon 04:01:28,0,n100w8,4710,1,0
2015-05-25 Mon 04:01:30,1,n100w8,4770,1,0
2015-05-25 Mon 04:01:33,2,n100w8,4805,1,0
2015-05-25 Mon 04:01:36,3,n100w8,4525,1,0
2015-05-25 Mon 04:01:39,4,n100w8,4600,1,0
2015-05-25 Mon 04:01:42,5,n100w8,4615,1,0
2015-05-25 Mon 04:01:45,6,n100w8,4955,1,0
2015-05-25 Mon 04:01:48,7,n100w8,4805,1,0
2015-05-25 Mon 05:16:37,0,n120w4,3365,1,0
2015-05-25 Mon 05:16:39,1,n120w4,3190,1,0
2015-05-25 Mon 05:16:42,2,n120w4,3300,1,0
2015-05-25 Mon 05:16:45,3,n120w4,3430,1,0
2015-05-25 Mon 05:16:48,4,n120w4,3365,1,0
2015-05-25 Mon 05:16:51,5,n120w4,3290,1,0
2015-05-25 Mon 05:16:54,6,n120w4,3320,1,0
2015-05-25 Mon 05:16:57,7,n120w4,3280,1,0
2015-05-25 Mon 05:57:28,0,n080w8,6265,1,0
2015-05-25 Mon 05:57:31,1,n080w8,6300,1,0
2015-05-25 Mon 05:57:34,2,n080w8,6310,1,0
2015-05-25 Mon 05:57:37,3,n080w8,6375,1,0
2015-05-25 Mon 05:57:40,4,n080w8,6340,1,0
2015-05-25 Mon 05:57:43,5,n080w8,6370,1,0
2015-05-25 Mon 05:57:46,6,n080w8,6200,1,0
2015-05-25 Mon 05:57:49,7,n080w8,6340,1,0
2015-05-25 Mon 06:55:06,0,n100w4,2610,1,0
2015-05-25 Mon 06:55:08,1,n100w4,2660,1,0
2015-05-25 Mon 06:55:11,2,n100w4,2715,1,0
2015-05-25 Mon 06:55:14,3,n100w4,2560,1,0
2015-05-25 Mon 06:55:17,4,n100w4,2825,1,0
2015-05-25 Mon 06:55:20,5,n100w4,2650,1,0
2015-05-25 Mon 06:55:23,6,n100w4,2715,1,0
2015-05-25 Mon 06:55:26,7,n100w4,2840,1,0
2015-05-25 Mon 07:27:12,0,n060w8,4545,1,0
2015-05-25 Mon 07:27:14,1,n060w8,4365,1,0
2015-05-25 Mon 07:27:17,2,n060w8,4710,1,0
2015-05-25 Mon 07:27:20,3,n060w8,4525,1,0
2015-05-25 Mon 07:27:23,4,n060w8,4620,1,0
2015-05-25 Mon 07:27:26,5,n060w8,4820,1,0
2015-05-25 Mon 07:27:29,6,n060w8,4430,1,0
2015-05-25 Mon 07:27:32,7,n060w8,4580,1,0
2015-05-25 Mon 08:07:17,0,n080w4,4260,1,0
2015-05-25 Mon 08:07:20,1,n080w4,4125,1,0
2015-05-25 Mon 08:07:23,2,n080w4,4120,1,0
2015-05-25 Mon 08:07:26,3,n080w4,4205,1,0
2015-05-25 Mon 08:07:29,4,n080w4,4190,1,0
2015-05-25 Mon 08:07:32,5,n080w4,4065,1,0
2015-05-25 Mon 08:07:35,6,n080w4,4050,1,0
2015-05-25 Mon 08:07:38,7,n080w4,4220,1,0
2015-05-25 Mon 08:31:43,0,n050w8,6785,1,0
2015-05-25 Mon 08:31:46,1,n050w8,6970,1,0
2015-05-25 Mon 08:31:49,2,n050w8,6830,1,0
2015-05-25 Mon 08:31:52,3,n050w8,7100,1,0
2015-05-25 Mon 08:31:55,4,n050w8,6850,1,0
2015-05-25 Mon 08:31:58,5,n050w8,6975,1,0
2015-05-25 Mon 08:32:01,6,n050w8,6840,1,0
2015-05-25 Mon 08:32:04,7,n050w8,6920,1,0
2015-05-25 Mon 09:01:57,0,n060w4,3480,1,0
2015-05-25 Mon 09:02:00,1,n060w4,3460,1,0
2015-05-25 Mon 09:02:03,2,n060w4,3430,1,0
2015-05-25 Mon 09:02:06,3,n060w4,3485,1,0
2015-05-25 Mon 09:02:09,4,n060w4,3560,1,0
2015-05-25 Mon 09:02:12,5,n060w4,3390,1,0
2015-05-25 Mon 09:02:15,6,n060w4,3320,1,0
2015-05-25 Mon 09:02:18,7,n060w4,3570,1,0
2015-05-25 Mon 09:18:43,0,n040w8,3785,1,0
2015-05-25 Mon 09:18:46,1,n040w8,3720,1,0
2015-05-25 Mon 09:18:49,2,n040w8,3810,1,0
2015-05-25 Mon 09:18:52,3,n040w8,3775,1,0
2015-05-25 Mon 09:18:55,4,n040w8,3925,1,0
2015-05-25 Mon 09:18:58,5,n040w8,3850,1,0
2015-05-25 Mon 09:19:01,6,n040w8,3845,1,0
2015-05-25 Mon 09:19:04,7,n040w8,3890,1,0
2015-05-25 Mon 09:40:12,0,n050w4,2010,1,0
2015-05-25 Mon 09:40:14,1,n050w4,2020,1,0
2015-05-25 Mon 09:40:17,2,n050w4,1880,1,0
2015-05-25 Mon 09:40:20,3,n050w4,1925,1,0
2015-05-25 Mon 09:40:23,4,n050w4,1995,1,0
2015-05-25 Mon 09:40:26,5,n050w4,1920,1,0
2015-05-25 Mon 09:40:29,6,n050w4,1910,1,0
2015-05-25 Mon 09:40:32,7,n050w4,1990,1,0
2015-05-25 Mon 09:52:35,0,n030w8,2835,1,0
2015-05-25 Mon 09:52:37,1,n030w8,2785,1,0
2015-05-25 Mon 09:52:40,2,n030w8,2865,1,0
2015-05-25 Mon 09:52:43,3,n030w8,2710,1,0
2015-05-25 Mon 09:52:46,4,n030w8,2610,1,0
2015-05-25 Mon 09:52:49,5,n030w8,2670,1,0
2015-05-25 Mon 09:52:52,6,n030w8,2810,1,0
2015-05-25 Mon 09:52:55,7,n030w8,2775,1,0
2015-05-25 Mon 10:05:18,0,n040w4,2270,1,0
2015-05-25 Mon 10:05:20,1,n040w4,2215,1,0
2015-05-25 Mon 10:05:23,2,n040w4,2130,1,0
2015-05-25 Mon 10:05:26,3,n040w4,2225,1,0
2015-05-25 Mon 10:05:29,4,n040w4,2125,1,0
2015-05-25 Mon 10:05:32,5,n040w4,2155,1,0
2015-05-25 Mon 10:05:35,6,n040w4,2215,1,0
2015-05-25 Mon 10:05:38,7,n040w4,2175,1,0
2015-05-25 Mon 10:14:24,0,n030w4,2235,1,0
2015-05-25 Mon 10:14:26,1,n030w4,2230,1,0
2015-05-25 Mon 10:14:29,2,n030w4,2285,1,0
2015-05-25 Mon 10:14:32,3,n030w4,2245,1,0
2015-05-25 Mon 10:14:35,4,n030w4,2260,1,0
2015-05-25 Mon 10:14:38,5,n030w4,2155,1,0
2015-05-25 Mon 10:14:41,6,n030w4,2240,1,0
2015-05-25 Mon 10:14:44,7,n030w4,2250,1,0
2015-05-25 Mon 10:30:04,0,n120w8,5805,1,0
2015-05-25 Mon 10:30:06,1,n120w8,5770,1,0
2015-05-25 Mon 10:30:09,2,n120w8,5530,1,0
2015-05-25 Mon 10:30:12,3,n120w8,5555,1,0
2015-05-25 Mon 10:30:15,4,n120w8,5625,1,0
2015-05-25 Mon 10:30:18,5,n120w8,6020,1,0
2015-05-25 Mon 10:30:21,6,n120w8,5875,1,0
2015-05-25 Mon 10:30:24,7,n120w8,5725,1,0
2015-05-25 Mon 11:58:21,0,n100w8,4580,1,0
2015-05-25 Mon 11:58:24,1,n100w8,4625,1,0
2015-05-25 Mon 11:58:26,2,n100w8,4800,1,0
2015-05-25 Mon 11:58:29,3,n100w8,5020,1,0
2015-05-25 Mon 11:58:33,4,n100w8,4650,1,0
2015-05-25 Mon 11:58:36,5,n100w8,4840,1,0
2015-05-25 Mon 11:58:38,6,n100w8,4825,1,0
2015-05-25 Mon 11:58:42,7,n100w8,4720,1,0
2015-05-25 Mon 13:13:30,0,n120w4,3335,1,0
2015-05-25 Mon 13:13:32,1,n120w4,3350,1,0
2015-05-25 Mon 13:13:35,2,n120w4,3300,1,0
2015-05-25 Mon 13:13:38,3,n120w4,3315,1,0
2015-05-25 Mon 13:13:41,4,n120w4,3445,1,0
2015-05-25 Mon 13:13:44,5,n120w4,3190,1,0
2015-05-25 Mon 13:13:47,6,n120w4,3315,1,0
2015-05-25 Mon 13:13:50,7,n120w4,3340,1,0
2015-05-25 Mon 13:54:22,0,n080w8,6330,1,0
2015-05-25 Mon 13:54:24,1,n080w8,6235,1,0
2015-05-25 Mon 13:54:27,2,n080w8,6075,1,0
2015-05-25 Mon 13:54:30,3,n080w8,6590,1,0
2015-05-25 Mon 13:54:33,4,n080w8,6265,1,0
2015-05-25 Mon 13:54:36,5,n080w8,6125,1,0
2015-05-25 Mon 13:54:39,6,n080w8,6370,1,0
2015-05-25 Mon 13:54:42,7,n080w8,6360,1,0
2015-05-25 Mon 14:51:59,0,n100w4,2695,1,0
2015-05-25 Mon 14:52:02,1,n100w4,2740,1,0
2015-05-25 Mon 14:52:04,2,n100w4,2845,1,0
2015-05-25 Mon 14:52:07,3,n100w4,2615,1,0
